Port_IDs,Total_PnL,Sharpe_Ratio,MDD,Win_Positions,Total_Positions,Win_Rate,score,Rank
3672754654734989568,566.59765978,0.0065761402929952785,-57210221.20419119,210.0,474,0.4430379746835443,11442270.726178791,20.0
3733192481840423936,2923.97719988,1.3320297261801808,-6.9131499291102685e-06,553.0,689,0.8026124818577649,1169.8707515006697,82.0
3768170840939476993,243.66889897,0.8345131454665702,0.0,6.0,14,0.42857142857142855,97.5607706744971,141.0
3784403294629753856,2521.81430468,0.05177984717159034,-71872567030735.78,1829.0,6050,0.3023140495867769,14374513407155.729,17.0
3786761687746711808,205.02139999,0.2540067230607314,-9.232206218945115e-07,37.0,82,0.45121951219512196,81.92988414878185,142.0
3788465932399412480,13960.96645667,0.3026815919816028,-0.32780547272233246,1369.0,3069,0.44607363962202673,5584.387555604101,34.0
3818233536529843712,6419.60790714,0.34439924146995904,-0.8652251210008047,482.0,1421,0.3391977480647431,2567.953447427448,48.0
3819545518395756033,980.0631999599999,0.5777035994640218,0.0,26.0,68,0.38235294117647056,392.0368263579569,137.0
3826087012661391104,532.65697373,0.25865996936050956,-48271678.55335859,63.0,108,0.5833333333333334,9654548.709392535,21.0
3858510226868015873,-280.97295038999994,0.1083470223377983,-0.00011396919809530205,243.0,996,0.24397590361445784,-112.53225566509758,144.0
3865845304835489536,1406.06618669,0.07918418230172124,-5.579323051510625,451.0,882,0.5113378684807256,563.4172283278407,128.0
3878631538480067329,3921.23304116,0.08612389967978215,-1.3780331904109144e+56,1415.0,2811,0.5033795802205621,2.756066380821829e+55,6.0
3879821005658659073,4268.00656095,0.0718023973814849,-1.8796992868842645e+34,289.0,872,0.33142201834862384,3.759398573768529e+33,10.0
3880920727367689984,-176.82699999000002,0.4074221197177435,-2.873121906615799e-06,49.0,145,0.33793103448275863,-70.77477968201204,143.0
3886752488982104320,7195.17832464,0.3491938825031024,-5.285264161582436e+45,931.0,1249,0.745396317053643,1.0570528323164872e+45,7.0
3887577207880438784,2417.51403674,0.024565854917169037,-0.9999999619219261,2893.0,6050,0.4781818181818182,967.0608026266777,102.0
3891020560590657281,2856.30056379,0.6288143871667055,0.0,283.0,437,0.6475972540045767,1142.5736295575505,85.0
3907081197088384000,18015.99737026,0.11227731246598362,-8.46969605090132e+72,2540.0,4137,0.6139714769156394,1.6939392101802641e+72,4.0
3910887259807777281,1803.30201001,0.0725523013859618,-2.0720462928639063e-06,17.0,75,0.22666666666666666,721.1652367754917,118.0
3910983669796782848,6761.64804825,0.11287953661123691,-4243800519.719931,274.0,640,0.428125,848762808.4798819,18.0
3911997667197443328,605.72231024,-0.444301691407664,-0.2615729836311787,30.0,64,0.46875,242.05482318530395,139.0
3914654298562589441,343.47044904999996,0.09829598915509197,-4322.7618849827795,200.0,483,0.4140786749482402,1001.8114532807973,98.0
3919174299855478272,1456.3718076199998,-0.07683982286367366,-21.567938680886027,609.0,1267,0.48066298342541436,586.6873251356606,126.0
3923766029921022977,772.72903189,0.25458072417104366,-0.9366307581554837,359.0,1259,0.2851469420174742,309.18382781908423,138.0
3925368433214965504,6789.43673863,0.2375308969403142,-0.0006294940004698928,486.0,1458,0.3333333333333333,2715.6794139532158,47.0
3926423286576838657,1309.45995959,0.5882501906474747,-3.991469880712746e-07,163.0,478,0.3410041841004184,523.7945593914336,132.0
3930688517098515713,1947.24457347,-0.2276509433918672,-49501.11451798653,140.0,288,0.4861111111111111,10678.901048813399,27.0
3931992636670880512,10374.96528998,0.1588869766047756,-0.7115893600213994,2430.0,6050,0.40165289256198344,4150.016265246242,38.0
3932103299427844097,3860.30970535,0.018948664251823576,-7.628348550109933e+16,778.0,2589,0.3005021243723445,1.525669710022141e+16,15.0
3935808725185052672,2301.96412286,0.10529566200589927,-1.3802662395762524,602.0,1715,0.3510204081632653,920.9283931313335,108.0
3936410995029308417,10681.514,0.5800765795572788,0.0,6.0,20,0.3,4272.609622973867,37.0
3937714876784951296,1117.5308932100002,0.19232571537088247,-0.7584448394373435,201.0,511,0.3933463796477495,447.0610786044636,134.0
3939318616482048768,9775.38910984,0.5471514594225663,-1.6747282091336103e-06,118.0,315,0.3746031746031746,3910.157250026233,39.0
3939925275039085824,2378.8786707,0.09672498912097968,-1.9202048728114705e+100,2148.0,5928,0.3623481781376518,3.840409745622941e+99,3.0
3941019213896463617,4234.08779003,0.22502521341318124,-4.170832893929243e-05,55.0,112,0.49107142857142855,1693.551739060547,64.0
3942630767220672256,6611.89848042,0.12607401082525738,-inf,1903.0,4969,0.3829744415375327,inf,1.5
3943533600390906881,2361.42457205,0.08401299863374134,-0.35291061627164916,964.0,1759,0.5480386583285958,944.5204187086772,105.0
3944088772635000577,7581.4919834,0.18479202813003356,-0.9998954504229279,2774.0,6063,0.4575292759360053,3032.697962986118,43.0
3944239644144231424,-1187.89097568,-0.16268432963721555,-645.5526281027675,227.0,858,0.26456876456876455,-346.2682130738808,147.0
3944658614777849089,2074.44997996,0.3897262568489637,0.0,20.0,45,0.4444444444444444,829.741354305499,112.0
3946087913459823360,-40.66724167,-0.0006329726974883753,-2887802668.485672,1930.0,6085,0.3171733771569433,577560517.2617652,19.0
3949214983441029120,1317.57755896,0.0821819271638276,-1.1902439217141204e+70,1675.0,4530,0.369757174392936,2.380487843428241e+69,5.0
3949329502284748801,425.96505788999997,0.04641931093071826,-6.7207826771709955,72.0,384,0.1875,171.56285548471342,140.0
3951723256343550465,5260.02286389,0.17146107977946815,-0.9166278913042953,1215.0,3447,0.3524804177545692,2104.0791574999703,56.0
