Port_IDs,Total_PnL,Sharpe_Ratio,MDD,Win_Positions,Total_Positions,Win_Rate,score,Rank
3942630767220672256,6611.89848042,0.12607401082525738,-inf,1903.0,4969,0.3829744415375327,inf,1.5
4022641794255717633,2176.83382376,0.12089918057475306,-inf,2634.0,6052,0.43522802379378717,inf,1.5
3939925275039085824,2378.8786707,0.09672498912097968,-1.9202048728114705e+100,2148.0,5928,0.3623481781376518,3.840409745622941e+99,3.0
3907081197088384000,18015.99737026,0.11227731246598362,-8.46969605090132e+72,2540.0,4137,0.6139714769156394,1.6939392101802641e+72,4.0
3949214983441029120,1317.57755896,0.0821819271638276,-1.1902439217141204e+70,1675.0,4530,0.369757174392936,2.380487843428241e+69,5.0
3878631538480067329,3921.23304116,0.08612389967978215,-1.3780331904109144e+56,1415.0,2811,0.5033795802205621,2.756066380821829e+55,6.0
3886752488982104320,7195.17832464,0.3491938825031024,-5.285264161582436e+45,931.0,1249,0.745396317053643,1.0570528323164872e+45,7.0
4012994295026226176,2500.33664614,0.2471031628610832,-1.658656875090389e+43,251.0,627,0.4003189792663477,3.3173137501807784e+42,8.0
3996598927198996481,3509.04461888,0.07395033278346097,-1.3033854444784672e+38,980.0,2661,0.368282600526118,2.6067708889569346e+37,9.0
3879821005658659073,4268.00656095,0.0718023973814849,-1.8796992868842645e+34,289.0,872,0.33142201834862384,3.759398573768529e+33,10.0
3988187872032603905,2599.76167062,0.062350666763991515,-5.972913465051924e+32,1711.0,5238,0.3266513936617029,1.194582693010385e+32,11.0
3991414786174551297,1787.98771569,0.2813621088058615,-5.214372680595401e+31,93.0,311,0.2990353697749196,1.0428745361190802e+31,12.0
3993222640082269952,1884.46844302,0.22385665328021573,-4.053712854138137e+30,1434.0,3087,0.4645286686103013,8.107425708276274e+29,13.0
4008537296438699777,2330.8456453100002,0.12682851628245698,-1.8565792594149524e+18,249.0,535,0.4654205607476635,3.713158518829915e+17,14.0
3932103299427844097,3860.30970535,0.018948664251823576,-7.628348550109933e+16,778.0,2589,0.3005021243723445,1.525669710022141e+16,15.0
4037511388357114368,3552.34051692,0.16440134006068743,-6312105393799991.0,413.0,953,0.4333683105981112,1262421078761419.0,16.0
3784403294629753856,2521.81430468,0.05177984717159034,-71872567030735.78,1829.0,6050,0.3023140495867769,14374513407155.729,17.0
3910983669796782848,6761.64804825,0.11287953661123691,-4243800519.719931,274.0,640,0.428125,848762808.4798819,18.0
3946087913459823360,-40.66724167,-0.0006329726974883753,-2887802668.485672,1930.0,6085,0.3171733771569433,577560517.2617652,19.0
3672754654734989568,566.59765978,0.0065761402929952785,-57210221.20419119,210.0,474,0.4430379746835443,11442270.726178791,20.0
